discount_id,product_name,prices,original_prices,extra_discounts
84,Small Generator Three-phase AC Brushless Generator Low Power Wind Turbine Motor Mute Hand Cranked Generator LED Lamp 3-24V DIY ,17017.83,,3.0
85,2kw Gasoline Engine Portable Power Electric Gasoline Generator For Sale Cheap Price ,394840.2,,2.0
86,##YUNYI Hot Sale 1Kw 1Kva 1000W Silent Portable Electricity Generation Generators Air Cooled Gasoline Generator Parts Spare ,3330861.4,,5.0
87,##YUNYI China Portable Power 220V Electric 10kw 8500w 3000w 5kw Gasoline Generators Petrol Generators For Home ,6074684.92,,5.0
88,Negative Ions Air Purifier Ozone Generator Sterilization Refrigerator Odor Eliminator Formaldehy Smoke Gas Remover for Car Home ,26394.62,60810.66,
89,##YUNYI FF-3600 2.8KW  Portable High Power Outdoor Mini Household Electric Emergency Silent Gasoline Generator ,3908386.26,,5.0
90,"For Portable Inverter Generator，EPA Compliant, Eco-Mode Feature, Ultra Lightweight for Backup Home Use & Camping ",2315908.87,,5.0
91,Small and Silent 2.8kw Portable Manual Start Gasoline AC Generator ,1402567.15,,2.0
92,2KW 3kw 5kw 6000w 7kw 9kw watt portable gasoline electric generator for home standby ,3739347.28,,2.0
93,Wholesale Portable Super Quiet Pure Sine Wave 3.5kw 220v Digital Gasoline Inverter Generator ,1026268.65,,2.0
94,Original Smartgen HGM6110N HGM6120N 6110U 6120U 6120NC Display Control Pannel Generator Controller lxc6120n ,98928.53,,5.0
95,Gasoline Generator 15Hp Portable Silent Inverter Gasoline Generator Power Generator Inverter Gasoline 10000W ,1659134.31,,2.0
96,*Car 24v2500W Parking Air Conditioner Gasoline Generator Self-starting Frequency Conversion Silent Small Portable Portable ,804260.53,,
97,Generator Battery Charger Portable Emergency Pwer Station Outdoor Camping Power Bank Power Supply Inverter ,155698.65,,2.0
98,6000W 24V 48V Free Energy Off Grid System Horizontal Home Wind Turbines Wind Generator Power Windmil With MPPT Controllerl ,558456.63,,2.0
99,Portable Hand Crank Generator USB 5V/5W Small Appliances Charging Treasure Outdoor Mobile Phone Emergency Manual Generator ,68165.67,,
100,100W Foot-Operated Generator Portable Power Generator Hand Generator Rehabilitation Training Device Spinning Bike Fitness Geare ,373581.07,,
